"","北京","天津","河北","山西","内蒙古","辽宁","吉林","黑龙江","上海","江苏","浙江","安徽","福建","江西","山东","河南","湖北","湖南","广东","广西","海南","重庆","四川","贵州","云南","西藏","陕西","甘肃","青海","宁夏","新疆"
"湖南",0.0212412736726911,0.0219666196409912,0.0232884464662341,0.0285639509726644,0.0171559666975936,0.0191049025737636,0.0131891713567307,0.011035835822566,0.0279922263239449,0.0267842001299873,0.0324871448485167,0.0410638234594017,0.0415149504178272,0.0710892008953128,0.024840530855924,0.0434940498541973,0.0835170471275005,0,0.0375489404978054,0.0398897217166977,0.0133655120035108,0.0626872596700614,0.0300634026638978,0.123277559809038,0.0270261689156117,0.0120908291770142,0.0352058187695286,0.0192089373079682,0.0161243682524792,0.025600101287435,0.00958203881310513
"广东",0.0157519472010393,0.0161476721949561,0.016820178441816,0.0188780441760994,0.0136654022528779,0.0150739445527157,0.0115867428625774,0.0100506947012548,0.0212634127165418,0.0202198628423532,0.0261864401503816,0.0241171476515785,0.0408098719236125,0.0352040067062859,0.0180005889659029,0.0233680535637148,0.0300414818952233,0.0435238243392893,0,0.334977341842634,0.0231358304346639,0.0329073428199385,0.0261320926427991,0.0506167047268202,0.0341393692789561,0.013626996969474,0.0220267497339671,0.0167276619735843,0.0158542956959561,0.0189370847303207,0.0102092120126654
"广西",0.0157096552390954,0.0160709144179133,0.0167178246564714,0.0190709457831261,0.0136686659939391,0.014860016591642,0.0113848834381252,0.00987976695149195,0.0206620539754649,0.0197075819086908,0.0250962643315711,0.0238680200877224,0.0379714169661347,0.0345931129717414,0.0177554999670834,0.0235940090243878,0.0307205866390957,0.0452113514966631,0.327546190933127,0,0.0213681909394871,0.0349507596317224,0.0276640804977498,0.0552722368690812,0.0370234817064828,0.0138656650863251,0.0226171204048109,0.01716389061265,0.0162703496891667,0.0194195857576155,0.0102958774314217
"海南",0.0259982936667297,0.0265992659404841,0.0274300597628255,0.0282797938989037,0.0234112644609538,0.026371067017921,0.0223700494064668,0.0200933566440591,0.0343916912036676,0.0330568656620875,0.0400867834506508,0.034253368351194,0.0498214171249409,0.0412497064451691,0.0294127724769508,0.0320811764846444,0.0358385043067606,0.0414361703868376,0.0618799196294971,0.0584487574087842,0,0.0363380219056101,0.0333994282093196,0.042613360485745,0.0401130434886229,0.0250278331659707,0.0302809213015687,0.0261475863761767,0.0259312793672423,0.0278531844992167,0.0197850574709988
"重庆",0.0237854849812203,0.0238114708376387,0.0245014370897566,0.03612905683832,0.0206277704086066,0.0193670597047426,0.0138045915913655,0.0118013193870217,0.023232988468168,0.0229162274598112,0.024360207050458,0.0331002593401721,0.0275918898175245,0.038332662594439,0.0237333701211847,0.0456806464814883,0.0701818688533014,0.0692315025108401,0.0313536369805674,0.0340560761300526,0.012944692675092,0,0.0606401981912775,0.0847205141584737,0.0385906033222769,0.0161641208340205,0.0601981624229211,0.030242879824071,0.0239285715384191,0.0424916576436438,0.0124790727431251
"四川",0.0240365038931833,0.0236138071985957,0.0237653135409227,0.0339166917076457,0.022928562682328,0.0195177681341791,0.0149513260796871,0.0132063826940518,0.0214699273771052,0.0213200891547782,0.0221920635555565,0.0275754563087851,0.0248263078590673,0.0300827988121874,0.0224063738233257,0.0352894919917449,0.0419931494964067,0.0423362768741271,0.0317482182052766,0.0343719590461366,0.015171186629701,0.0773233514150489,0,0.0510446826740144,0.0696032078720958,0.0280939809982165,0.0523258192515332,0.0541075449929259,0.0475605703106085,0.0535623629683452,0.0196588244524198
"贵州",0.0203152319390431,0.0207421110637845,0.0216782296598206,0.0274352247235567,0.017140622233592,0.0179954804935623,0.0129161181810014,0.0109922290605195,0.0245197177287066,0.0236412189630177,0.0280556415758267,0.0333234573423878,0.0367301037133876,0.0492670679825251,0.022451641571338,0.0373374049770225,0.0610047970183171,0.132449576368283,0.0469170881994821,0.0523946691339199,0.0147678855636772,0.0824196290240786,0.0389441763929258,0,0.0370778085449127,0.0141557590548802,0.0361414299555412,0.021823137684121,0.0188294725882871,0.0277040917058681,0.0108289775566144
"云南",0.0225338280596427,0.02247236722676,0.0228430713240345,0.0289271634855559,0.0210647796422461,0.0196793238587759,0.015498912098736,0.0137791765999238,0.0231552411813946,0.0227068812311302,0.0251198290200095,0.0279721302019765,0.0302702984032105,0.0331693492429119,0.0225502506818158,0.0319123953022264,0.0389142041936758,0.0454935647385864,0.0495782979417829,0.0549865226786061,0.0217799603990736,0.0588196692381656,0.0831994026525585,0.0580915540317357,0,0.0329201089369915,0.0380825219777537,0.0373371244989533,0.0397178353781421,0.036496841509008,0.0209273942646163
"西藏",0.0254542804694749,0.0249105679874344,0.0247510390199369,0.030287314750542,0.0262390695707741,0.0219601837940891,0.0187950385488261,0.0175034834030802,0.0226001937287294,0.0225397350380546,0.0230613974603802,0.0258975589627994,0.0249265572797328,0.0270564889558975,0.0234803611661768,0.0294833372043921,0.0312802015479203,0.0316034702689868,0.0307290748985077,0.0319766461603099,0.0211012376959816,0.0382565942542791,0.0521455729471412,0.0344385855414527,0.0511180726166369,0,0.0359062517028588,0.0532341317401413,0.0858966310823278,0.0399902670356764,0.0733766551674595
"陕西",0.0345267326751869,0.0331823095245873,0.0331021778795096,0.0748936426214114,0.0305440453561795,0.0236052158833798,0.0161882937495007,0.0137235368213665,0.0234156762020139,0.0238200020073246,0.0221098843668294,0.0346468497765674,0.0217836928002269,0.0305478963242359,0.0282263403131621,0.0634236307581136,0.0576154885861353,0.0385281076120983,0.0207962143458489,0.0218380600724925,0.0106890301928947,0.0596515855748285,0.0406634981583304,0.0368130683009991,0.024758449831634,0.0150333099608591,0,0.0373302959247381,0.0242378748338612,0.0915205883643233,0.0127845011813612
"甘肃",0.029382644764604,0.027941317110319,0.0272689132940296,0.0404871297450514,0.031924754871428,0.0222391104905527,0.0177430780031032,0.0160586150833062,0.0212085542328182,0.0214380262937829,0.020661463458059,0.0264959459100059,0.021223186040783,0.025599644515721,0.0240674378424879,0.0346420400199687,0.0347360577027929,0.0309810082154572,0.0232754502001832,0.0244242627214434,0.0136028467130777,0.0441662859348066,0.0619691455522923,0.0327599217782274,0.0357740075507739,0.0328476038623437,0.0550161773322919,0,0.0860349911481572,0.0874386461825955,0.0285917334295362
"青海",0.0260047351542356,0.0251166786969504,0.0247571108249269,0.0331320661808246,0.0274932668407559,0.0210711483110144,0.0173997671228627,0.0159762990829982,0.020956939103794,0.021030020559638,0.020936959297559,0.0251621575315978,0.0221573238971361,0.0254600978346411,0.0227052758956158,0.0306658194705872,0.0320368649545957,0.0306986745784077,0.0260408112249605,0.0273304838955281,0.0159245383503377,0.0412505001540361,0.0642997732959153,0.0333663367283306,0.0449217852198845,0.0625654193223394,0.042166565241542,0.101559330113735,0,0.0528555219618164,0.0449577291534334
"宁夏",0.0343394734173411,0.032227327763174,0.0313348649430952,0.0596185739238342,0.0354543433663516,0.0235890429996329,0.0173972048569059,0.0152053194018229,0.0220188159679263,0.0224232362296067,0.0208703856387893,0.0296659258634588,0.0207513363797569,0.0269203633452623,0.0264022286328849,0.0446919760102223,0.0417105999135031,0.0328279907460782,0.0209501134654744,0.0219713173694502,0.0115208219467912,0.0493380318167835,0.0487739375543962,0.0330658727842865,0.0278030486061736,0.0196190617724183,0.107240342635749,0.0695206518794759,0.0356004975483591,0,0.0171472932209958
"新疆",0.028554381655963,0.0277064282078899,0.0272452172351922,0.0326290194898387,0.0308884952172809,0.0244490181808265,0.0217102916177635,0.0206921165826193,0.0236590427604566,0.0237760171586279,0.0235034765209951,0.0267379344480099,0.0243903140884103,0.0267162317227237,0.0253655291244215,0.0304074497372636,0.0308437177411687,0.0299673480413639,0.0275456641018339,0.0284097405073248,0.0199587662676524,0.035338509722176,0.0436589615585703,0.0315218207736366,0.0388812358898642,0.0877949647183806,0.0365351541839067,0.0554419713954496,0.0738512474743263,0.0418199338760636,0
